Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   38   21 0xffffff8002cb8000 0x74ff4    0x74ff4    com.apple.iokit.IOUSBHostFamily (1.2) 446D6C3B-9671-383F-9398-DBB177AADA65 <37 36 35 27 19 17 9 8 7 6 3 1>
   39    2 0xffffff8002e86000 0x20000    0x20000    com.apple.iokit.IOUSBMassStorageDriver (259.100.1) F0C4AF89-A085-3A92-9824-D43FD178C557 <38 33 29 18 8 7 6 3 1>
   40    2 0xffffff8001c42000 0x7ffd     0x7ffd     com.apple.driver.AppleUSBTDM (556) 1D341FFC-87A6-3FC8-861B-C1A0E50BBAB8 <39 38 34 33 29 27 9 8 7 6 3 1>
   41    0 0xffffff80019e9000 0x9fffa    0x9fffa    com.apple.driver.AppleKeyStore (2) 5B70B46D-3717-3640-916F-BEB299845052 <40 27 25 24 22 21 10 9 8 7 6 3 1>
   42    0 0xffffff8001aaf000 0x17ff8    0x17ff8    com.apple.driver.AppleLockdownMode (1) 569EA3BA-4C86-323D-8689-863C2A566105 <24 9 8 7 6 3 1>
   43    0 0xffffff8001bef000 0x9000     0x9000     com.apple.driver.AppleSSE (1.0) 43946D01-DE10-3725-BED0-340F297B183E <22 21 9 8 7 6 3 1>
   44    0 0xffffff8001fde000 0x2ff8     0x2ff8     com.apple.Dont_Steal_Mac_OS_X (7.0.0) EEE5D534-3901-3B21-B83C-3458BB346F42 <19 10 9 8 6 3 1>
   45    2 0xffffff8001ad0000 0x2ffe     0x2ffe     com.apple.kext.AppleMatch (1.0.0d1) 48FD233A-2426-30BC-A52E-52278413E026 <8 6 3 1>
   46    3 0xffffff8002eeb000 0x64ff2    0x64ff2    com.apple.security.sandbox (300.0) 3BF23779-06DE-3EEF-B8EA-7C61CA771E7E <45 29 27 10 9 8 7 6 3 2 1>
   47    2 0xffffff8002edf000 0x9ff1     0x9ff1     com.apple.security.quarantine (4) 1E914FAD-FA97-3007-82F8-6A9D601E7588 <46 45 9 8 7 6 3 2 1>
   48    0 0xffffff8001feb000 0xa7ffa    0xa7ffa    com.apple.iokit.EndpointSecurity (1) 45350761-D30F-3DFF-B908-DAD7CBF0E1FF <47 27 9 8 7 6 3 2 1>
   49   10 0xffffff80028cb000 0x2ff8     0x2ff8     com.apple.iokit.IOReportFamily (47) 20EEB3ED-6CA5-30ED-B214-C69C5EAFF776 <8 7 6 3>
   50    2 0xffffff800247b000 0x37000    0x37000    com.apple.iokit.IOBluetoothFamily (9.0.0) 5EE686B1-2603-35D9-B7DB-51131D672193 <49 38 17 9 8 7 6 3 1>
   51    0 0xffffff8002504000 0xc000     0xc000     com.apple.driver.DiskImages (493.0.0) A163F0C8-DC7B-3002-967F-4BB81B6331C8 <29 9 8 7 6 3 1>
   52    0 0xffffff80025ed000 0xfff      0xfff      com.apple.iokit.IOKitRegistryCompatibility (1) 09C98BCE-6440-33FD-B698-000E42330B3F <6 3>
   53   14 0xffffff8002624000 0x15ff4    0x15ff4    com.apple.iokit.IONetworkingFamily (3.4) 5D3F11B8-802B-3860-8A36-E9334980A117 <9 8 7 6 3 1>
   54    2 0xffffff800287f000 0x5000     0x5000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) 3D14DD05-A830-39B3-8B82-867C157682C9 <53 8 6 3 1>
   55    7 0xffffff8002973000 0x33ff8    0x33ff8    com.apple.iokit.IOSkywalkFamily (1.0) 50C44C84-1166-387F-8ECE-02E931E2405B <54 53 9 8 7 6 3 1>
   56    3 0xffffff8002bc4000 0x32ff8    0x32ff8    com.apple.iokit.IOTimeSyncFamily (1340.12) ADD31772-C279-3A65-B031-7D4FCC8FE52D <55 53 8 7 6 3 1>
   57    0 0xffffff80013f8000 0x7ffc     0x7ffc     com.apple.nke.applicationfirewall (406) CEA0F927-1488-3A2F-840A-161D38C7B2FA <9 8 7 6 3 1>
   58    0 0xffffff8001c6d000 0xefff     0xefff     com.apple.AppleSystemPolicy (2.0.0) CBCA901C-FC92-3B7F-9EBC-F0CABC2863BF <47 46 27 9 8 7 6 3 2 1>
   59    0 0xffffff80014bf000 0x2000     0x2000     com.apple.driver.AppleAPIC (1.7) 5FA287BC-EF29-3D1E-8C18-B11673192517 <18 6 3>
   60   12 0xffffff800254f000 0x65000    0x65000    com.apple.iokit.IOHIDFamily (2.0.0) 19035BA0-9B88-3D8E-824C-E3C457574AAE <49 9 8 7 6 3 2 1>
   61    3 0xffffff8002961000 0x1ffe     0x1ffe     com.apple.iokit.IOSMBusFamily (1.1) DE4AF007-618B-3947-9759-F5EAFCD92C89 <7 6 3>
   62    0 0xffffff800148f000 0x6000     0x6000     com.apple.driver.AppleACPIEC (6.1) A1A8CE7C-0CC2-356C-B979-29177872C629 <61 60 49 20 17 9 8 7 6 3 1>
   63    0 0xffffff8001bc5000 0x2ffe     0x2ffe     com.apple.driver.AppleSMBIOS (2.1) A9F8C0A5-7E6A-3CD4-A871-CD4D7FFB8C42 <9 6 3>
   64    0 0xffffff8001be9000 0x3ff4     0x3ff4     com.apple.driver.AppleSMCRTC (1.0) 482C6A9C-2E89-30D0-AD1D-B69D1BAF8C0A <19 17 9 7 6 3 1>
   65    1 0xffffff80018cf000 0x2000     0x2000     com.apple.driver.AppleEFIRuntime (2.1) D48AC79B-5BF3-3762-B6C8-BF0364A7205D <23 9 8 7 6 3>
   66    0 0xffffff8001488000 0x2ffa     0x2ffa     com.apple.driver.AppleACPIButtons (6.1) 14EBF02D-69A0-38CB-BD51-D3D4C6B7C238 <60 49 20 17 9 8 7 6 3 1>
   67    0 0xffffff8001bfb000 0x1dff4    0x1dff4    com.apple.driver.AppleSmartBatteryManager (161.0.0) 26C0AC74-4A8F-336F-8136-300917A712DB <61 19 17 8 7 6 3 1>
   68    1 0xffffff80018d3000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) 26DB1712-8686-36CA-A31C-C102DFD05079 <65 9 8 7 6 3 1>
   69    1 0xffffff8002ddc000 0x3bff8    0x3bff8    com.apple.driver.usb.AppleUSBXHCI (1.2) ED595D1F-C305-352F-B390-E690F0C35990 <38 36 17 9 8 7 6 3 1>
   70    0 0xffffff8002e23000 0x22ff5    0x22ff5    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) 02DBFF8C-430F-34E8-AA00-57754E686BD0 <69 38 36 18 17 9 8 7 6 3 1>
   71    0 0xffffff8002eb1000 0x1000     0x1000     com.apple.private.KextAudit (1.0) 57F58D23-D103-3176-AA7D-F82CCEC9EC1E <19 9 8 7 6 3>
   72    0 0xffffff8002c0d000 0x62ff5    0x62ff5    com.apple.iokit.IOUSBFamily (900.4.2) 4BE371DF-B1C8-35E6-80C4-660F1C5A9724 <38 36 18 9 7 6 3 1>
   73    0 0xffffff8002d8e000 0x2ff5     0x2ff5     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) B426A690-D82E-300E-924D-39103A5D01CE <38 36 9 8 7 6 3 1>
   74   10 0xffffff80031b6000 0x22ff5    0x22ff5    com.apple.driver.corecapture (1.0.4) A42B924E-A282-3EBD-9540-3A53511696F4 <9 8 7 6 3 1>
   75    6 0xffffff8002965000 0x7000     0x7000     com.apple.iokit.IOSerialFamily (11) AF253393-D2D0-38B0-8425-8BD946DF3701 <9 8 7 6 3 1>
   76    2 0xffffff8001b42000 0x14000    0x14000    com.apple.driver.AppleOLYHALMac (1) 609376D3-BD0C-3023-A6BF-B5D37EC63EC6 <75 74 18 9 8 7 6 3 1>
   77    7 0xffffff80025d6000 0x11fff    0x11fff    com.apple.driver.IOImageLoader (1.0.0) DD08EA13-8A0D-3E3B-A621-4915A9A01EC5 <74 10 9 8 7 6 3 1>
   78    2 0xffffff8002110000 0x2abff8   0x2abff8   com.apple.iokit.IO80211Family (1200.13.1) B0E51A3C-6931-3460-AC50-415134D38D81 <74 55 53 27 23 10 9 8 7 6 3 1>
   79    1 0xffffff800154a000 0x220fff   0x220fff   com.apple.driver.AppleBCMWLANCoreMac (1.0.0) F5CBA62E-18DB-3729-B1E1-A73504478680 <78 77 76 75 74 56 55 54 53 27 23 18 10 9 8 7 6 3 1>
   80    0 0xffffff80014cf000 0x6dffd    0x6dffd    com.apple.driver.AppleBCMWLANBusInterfacePCIeMac (1) 184E826B-4E33-3DD7-BE1F-09D859429DF7 <79 78 77 76 74 55 53 23 18 9 8 7 6 3 1>
   81    6 0xffffff80024da000 0x7000     0x7000     com.apple.iokit.IOBufferCopyEngineFamily (1) 0FAE6E4F-0863-3E7D-B2E4-046E154791A2 <7 6 3 1>
   82    0 0xffffff80024d4000 0x3000     0x3000     com.apple.iokit.IOBufferCopyController (1.1.0) 013D5788-FD38-3377-A64C-EC123431BF33 <81 18 9 8 7 6 3 1>
   83    0 0xffffff80025f0000 0x2c000    0x2c000    com.apple.iokit.IONVMeFamily (2.1.0) D0C4EA20-5632-312D-8857-9D04E52649BD <49 29 27 18 9 8 7 6 3 1>
   84    0 0xffffff80018e1000 0x5000     0x5000     com.apple.driver.AppleEffaceableNOR (1.0) EBFC32A0-49C9-3C8E-B708-1A2EAF80627F <81 40 31 9 7 6 3 1>
   85    3 0xffffff8001def000 0x4ff3     0x4ff3     com.apple.driver.usb.AppleUSBVHCICommon (1.0) A85397DA-2CB5-3645-BAAB-EBFE0B3C80A5 <38 36 9 7 6 3 1>
   86    1 0xffffff8002dbd000 0x14ff1    0x14ff1    com.apple.driver.usb.AppleUSBVHCI (1.2) 56AEB0BC-099A-3149-B3E2-A5BA944C8706 <85 38 36 9 8 7 6 3 1>
   87    1 0xffffff8001df6000 0x6ff4     0x6ff4     com.apple.driver.usb.AppleUSBVHCICommonBCE (1.0) 5AF652AE-887C-3DEC-9D6E-AF5DFFB23ED5 <85 81 36 9 7 6 3 1>
   88    0 0xffffff8002dd8000 0x1ffc     0x1ffc     com.apple.driver.usb.AppleUSBVHCIBCE (1.2) 9207B4A4-118F-3439-B532-878344C1078C <87 86 85 81 38 36 17 9 8 7 6 3 1>
   89    8 0xffffff8002a25000 0x16b000   0x16b000   com.apple.iokit.IOThunderboltFamily (9.3.3) 59AFF2B5-001A-36EF-B512-103346100970 <19 7 6 3 1>
   90    0 0xffffff8001d46000 0x44ff7    0x44ff7    com.apple.driver.AppleThunderboltNHI (7.2.81) D8D21B2F-A2CD-3772-B677-C31EB9DA9FEF <89 18 17 8 7 6 3 1>
   91    0 0xffffff8001e77000 0x3000     0x3000     com.apple.driver.AppleXsanScheme (3) B01219FF-FBAC-323D-84F5-D7933DA7246F <29 7 6 3 1>
   92    7 0xffffff8002fd8000 0x1c7ff0   0x1c7ff0   com.apple.filesystems.apfs (2332.140.13) 144A6474-3FFF-3341-A7C7-D99D2696D703 <68 31 29 26 23 10 9 8 7 6 3 2 1>
   93    0 0xffffff8001909000 0x1fff     0x1fff     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) B76A6B03-B8B1-39E4-9B03-CC761F0F4B4B <9 8 6 3 2 1>
   94    0 0xffffff800190d000 0x10feb    0x10feb    com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) 9DF44320-F272-3BA2-AAAD-28FE793B9798 <8 6 3 2 1>
   95    0 0xffffff8001c64000 0x4ff9     0x4ff9     com.apple.driver.AppleSyntheticGameController (12.6.1) 10475F9D-AE32-3DEE-AC07-36B60439638B <60 8 6 3>
   96    0 0xffffff8001edf000 0xcff4     0xcff4     com.apple.BootCache (40) B6F63457-6693-3C29-9F40-CB7D67520277 <9 8 7 6 3 1>
   97    1 0xffffff800210c000 0x1ff9     0x1ff9     com.apple.filesystems.hfs.encodings.kext (1) CB1D70FE-CA5A-3009-BA50-C1BBFABA103A <9 8 7 6 3 1>
