Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  152    0 0xffffff7f94ace000 0x3000     0x3000     com.apple.driver.AGDCBacklightControl (8.1.10) 0E397401-45E6-3AAD-84DA-42642E716574 <143 137 134 17 9 7 6 3 1>
  153    0 0xffffff7f958ac000 0x6000     0x6000     com.apple.driver.driverkit.serial (6.0.0) 96FDEEAA-CC2C-30D5-AD52-B05980F571D8 <75 7 6 3 1>
  156    2 0xffffff7f94acb000 0xfff      0xfff      com.apple.driver.AppleGraphicsControl (8.1.10) AC5586D1-98C0-397B-B831-C1DCFEBEFC7B <9 7 6 3 1>
  157    0 0xffffff7f94b27000 0x12ffa    0x12ffa    com.apple.driver.AppleMuxControl2 (8.1.10) CE260623-50B6-34B0-A703-1E6C52A2CDEF <156 143 134 18 17 9 8 7 6 3 1>
  158    0 0xffffff7f94d4b000 0x13ff4    0x13ff4    com.apple.driver.AppleHV (1) 187D09A7-736E-3E9A-8211-33A3E1EEEAD6 <46 9 8 7 6 3 1>
  159    0 0xffffff7f94d63000 0x5000     0x5000     com.apple.driver.AppleIPAppender (1.0) 6677E633-CF6A-394D-A952-548FDFB9E26A <55 53 9 8 7 6 3 1>
  160    1 0xffffff7f957af000 0x8ff4     0x8ff4     com.apple.iokit.IORSMFamily (1) 2CAD2B1F-2FA5-34CE-B70C-DF7AE804896B <7 6 3 1>
  161    0 0xffffff7f95266000 0xcffd     0xcffd     com.apple.driver.AppleRSMChannel (1) 226B13A7-83F9-3BDA-A334-C1A9D76B1F8D <160 8 7 6 3 1>
  162    1 0xffffff7f95773000 0x2aff4    0x2aff4    com.apple.iokit.IORDMAFamily (1.0) 7633C4A0-9AB1-384C-BD3A-C56E4DCCDD66 <9 8 7 6 3 1>
  163    0 0xffffff7f95278000 0xf000     0xf000     com.apple.driver.AppleRXE (1.0) E7E46321-ED48-373C-A376-BB540C68641B <162 9 8 7 6 3 1>
  164    0 0xffffff7f95372000 0x2fff     0x2fff     com.apple.driver.AppleUIO (1) 129241AA-DE22-3F9F-A873-5E5ABD8EA9BC <18 8 7 6 3 1>
  165    1 0xffffff7f94a32000 0x5ffa     0x5ffa     com.apple.driver.AppleCallbackPowerSource (1) 679798BC-C48D-32C8-88E5-BEBA42480BDC <8 7 6 3 1>
  166    0 0xffffff7f9570d000 0x6ff7     0x6ff7     com.apple.driver.IOHIDPowerSource (1) 917ECDED-C9CA-37B9-8B64-ED3B7E4D46B7 <165 60 8 7 6 3 1>
  167    0 0xffffff7f95882000 0x13ff4    0x13ff4    com.apple.driver.usb.AppleUSBUserHCI (1) 3FEF2DC5-37B6-30C0-93D8-A75FA05926A9 <38 36 8 7 6 3 1>
  168    0 0xffffff7f958a3000 0x4fff     0x4fff     com.apple.iokit.IOUserEthernet (1.0.1) FB0E7B9F-8563-3DE3-AAC1-F06E2FF4721A <53 8 7 6 3 1>
  169    2 0xffffff7f95c82000 0x2ffd     0x2ffd     com.apple.kext.triggers (1.0) 935C5492-4374-327F-B83E-CD6BE4DB0A69 <9 8 7 6 3 1>
  170    0 0xffffff7f95b05000 0xac000    0xac000    com.apple.filesystems.nfs (1) C6F2CA3C-54A7-3AA6-A959-AB20A10C5C89 <169 10 9 8 7 6 3 1>
  171    0 0xffffff7f95bb7000 0x9000     0x9000     com.apple.driver.pmtelemetry (1) E7F4F077-CF46-3A9F-B2F1-F9BFEAA3F5B8 <9 8 7 6 3 1>
  172    0 0xffffff7f95032000 0xd7ff9    0xd7ff9    com.apple.driver.AppleIntelKBLGraphics (23.0.7) 38DB97F0-4593-383F-8A72-105287936C63 <148 134 99 18 9 8 7 6 3 1>
  173    0 0xffffff7f94ad4000 0x1ffe     0x1ffe     com.apple.AGDCPluginDisplayMetrics (8.1.10) 7379ADE1-E35C-3928-8083-3FA45CDC3369 <143 9 8 7 6 3 1>
  174    0 0xffffff7f94aec000 0xcffd     0xcffd     com.apple.driver.AppleGraphicsDevicePolicy (8.1.10) FE9655FF-91B0-3B30-B94C-A458D2AA645C <156 143 134 18 17 9 8 7 6 3 1>
  176    2 0xffffff7f95227000 0x10000    0x10000    com.apple.driver.AppleOnboardSerial (1.0) 701FF70D-62E7-3950-AF25-5E812AD2C18D <75 55 9 7 6 3 1>
  177    1 0xffffff7f951e6000 0x2000     0x2000     com.apple.driver.AppleIntelLpssUARTCommon (3.0.60) 450DE170-BA38-3709-8B6F-680481702C85 <176 75 18 17 9 7 6 3 1>
  178    0 0xffffff7f951ed000 0xff4      0xff4      com.apple.driver.AppleIntelLpssUARTv1 (3.0.60) A62E5021-E47D-3FE4-A002-72626CC340A6 <177 176 75 18 17 9 7 6 3 1>
  179    0 0xffffff7f949df000 0xffb      0xffb      com.apple.driver.AppleAudioClockLibs (420.3) 48F0ECDE-D694-3E15-BA81-9331A5C87723 <9 7 6 3 1>
  180    1 0xffffff7f95cbc000 0xc2fea    0xc2fea    com.apple.vecLib.kext (1.2.0) 35DDB12B-28E4-30AF-B64C-D145DD02F410 <13 9 8 7 6 3>
  181    2 0xffffff7f955b1000 0x1e000    0x1e000    com.apple.iokit.IOAudioFamily (600.2) 4556BE0C-7F57-3B76-8BB4-41AB8D5EA6DA <180 7 6 3 1>
  183    0 0xffffff7f813e8000 0x1ffb     0x1ffb     com.apple.kext.AMDRadeonX4000HWServices (7.0.0) 80F8534F-AC67-34B9-94BF-FD6D1E2C1469 <134 18 17 9 7 6 3 1>
  184    0 0xffffff7f94a52000 0x5f000    0x5f000    com.apple.driver.AppleGFXHDA (400.1) 5A9F0A08-567B-35E8-85D6-D4AD0E18FC02 <181 136 134 18 9 8 7 6 3 1>
  187    0 0xffffff7f9542c000 0x9ffc     0x9ffc     com.apple.driver.AppleBridgeAudioController (530.2) 09BE0411-1121-352C-BF25-705B45A90DCF <18 9 8 7 6 3 1>
  188    0 0xffffff7f80fad000 0x2ff8     0x2ff8     com.apple.kext.AMDRadeonServiceManager (7.0.0) CC434F0E-D677-3914-8C0B-33BDE34A88B8 <18 6 3 1>
  191    0 0xffffff7f95402000 0x3000     0x3000     com.apple.driver.AppleUpstreamUserClient (3.6.12) CB8872EF-E785-38A9-8ECB-E6DF654393FD <134 18 17 9 7 6 3 1>
  192    0 0xffffff7f80fb3000 0x3f5ff8   0x3f5ff8   com.apple.kext.AMDRadeonX4000 (7.0.0) 5B2CAAED-940E-3CAA-8057-6A06BD4DD7BC <148 134 99 18 9 7 6 3 1>
  193    0 0xffffff7f82196000 0x153ffe   0x153ffe   com.apple.kext.AMDRadeonX4100HWLibs (1.0) 7648243B-9AC0-3172-B463-AE0C7E3C10EE <18 7 6 3 1>
  194    0 0xffffff7f95ac0000 0x7ff7     0x7ff7     com.apple.filesystems.autofs (3.0) 81397D73-B779-3075-B334-44D0EF4035AF <169 9 8 7 6 3 2 1>
  195    0 0xffffff7f80f84000 0x23ff4    0x23ff4    com.apple.kext.AMDFramebuffer (7.0.0) CC089AF2-4603-35FD-850A-A2E30821A255 <150 134 18 17 9 7 6 3 1>
  196    0 0xffffff7f94b45000 0x1f000    0x1f000    com.apple.driver.AGPM (137) 9F0FB2FE-B62E-3063-B3A9-D007327255BD <143 139 136 134 18 8 7 6 3 1>
  197    1 0xffffff7f95769000 0x6000     0x6000     com.apple.driver.X86PlatformShim (1.0.0) EA0E561C-C5C2-3015-A666-6D6CCE28D0E1 <145 139 19 9 6 3>
  198    0 0xffffff7f95261000 0x1fff     0x1fff     com.apple.driver.ApplePlatformEnabler (2.7.0d0) BB933F9F-4949-3CAC-8615-3B1ACF88955E <9 7 6 3>
  199    0 0xffffff8001929000 0xffd      0xffd      com.apple.driver.AppleHIDALSService (1) 0A2622E5-E52E-38FC-8A05-D645AC160EFD <38 6 3>
  200    1 0xffffff80024bc000 0x13ff9    0x13ff9    com.apple.driver.IOBluetoothHIDDriver (9.0.0) FBAD292F-801A-3B69-9919-A90547683CF6 <60 50 7 6 3>
  201    1 0xffffff8001dc6000 0x6ff4     0x6ff4     com.apple.driver.AppleHSBluetoothDriver (8421.2) B43B909E-AB5D-35C9-B8C1-9DA01B183469 <200 60 50 8 7 6 3 1>
  202    2 0xffffff8001990000 0x12ffd    0x12ffd    com.apple.driver.AppleInputDeviceSupport (8440.2) C3C98EEE-A76B-3865-8FDE-4AA238729B82 <23 21 7 6 3 1>
  203    2 0xffffff8001b25000 0x15ff9    0x15ff9    com.apple.driver.AppleMultitouchDriver (8440.6) E89AB92E-7A1C-3E9F-8C82-66F6A2DA863E <202 60 49 9 8 7 6 3 1>
  204    0 0xffffff8001dd1000 0x9ff3     0x9ff3     com.apple.driver.AppleTopCaseHIDEventDriver (8421.2) 62F5EB9E-F2F1-33E5-B9B5-2DFB1357C456 <203 201 60 8 7 6 3 1>
  205    0 0xffffff800192c000 0x4ffc     0x4ffc     com.apple.driver.AppleHIDKeyboard (8010.1) 5BD475E6-B8E9-37CF-86ED-1B05F9BB0526 <60 8 7 6 3>
  206    0 0xffffff80014c3000 0x7ffb     0x7ffb     com.apple.driver.AppleActuatorDriver (8440.6) B40C7944-5BC8-3B7F-A55F-730D52ABA6EE <203 202 60 49 9 8 7 6 3 1>
  207    0 0xffffff7f954a2000 0x22ff9    0x22ff9    com.apple.iokit.IOAVBFamily (1320.3) DE720F7A-4D50-3EE5-9C48-99EFD3E55E80 <132 56 53 8 7 6 3 1>
  209    0 0xffffff7f95411000 0x3000     0x3000     com.apple.driver.AudioAUUC (1.70) 4805B2F8-A0BA-38A4-8FFC-ED8D32AAF1CF <181 134 18 17 9 7 6 3 1>
